index,Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
347,TRNT11,Lajes Corporativas,11100,"4,26%","4,11%",56,436.847.000,5.272,1,"6.927,39",54582,"7,88%","41,63%","Avenida Das Nacoes Unidas, 12901, Sem Complemento, Brooklin Paulista, São Paulo/SP, Brasil, 04578-910"
294,RCRB11,Lajes Corporativas,11319,"3,72%","7,32%",54,417.750.000,521.483,9,"10.172,60",97104,"9,55%","22,84%","Av. Juscelino Kubitschek, 510, Itaim Bibi, São Paulo/SP,Rua Girassol, 555  Vila Madalena,Rua da Candelária nº 65, Centro, Rio de Janeiro/RJ,Avenida Paulista, 37, São Paulo/SP,Rua Surubim, 373, Brooklin Novo, São Paulo/SP,Alameda Santos, 1.800 - Jardins,Alameda Santos, 1163, Cerqueira César, São Paulo/SP,Praia do Flamengo nº 154, Flamengo, Rio de Janeiro/RJ,Rua Olimpiadas. 205, São Paulo SP"
307,RNGO11,Lajes Corporativas,4650,"10,80%","10,64%",54,124.434.000,80.634,4,"2.270,19",29453,"12,97%","16,21%","Alameda Rio Negro, 585- Alphaville Industrial, Barueri- SP,Alameda Rio Negro, 585- Alphaville Industrial, Barueri- SP,Alameda Rio Negro, 585- Alphaville Industrial, Barueri- SP,Alameda Rio Negro, 585- Alphaville Industrial, Barueri- SP"
269,RBCO11,Lajes Corporativas,4400,"12,33%","8,39%",49,166.276.000,144.616,4,"3.812,31",61484,"16,13%","0,00%","Rua Bela Cintra, 986, São Paulo - SP,Av. Morumbi, 8.234, São Paulo - SP,Alameda Santos, nº 1.039, São Paulo - SP,Av. das Nações Unidas, 17.891, São Paulo - SP"
114,FMOF11,Lajes Corporativas,5500,"0,85%","0,81%",46,27.940.400,187,2,"1.654,58",15546,"9,40%","37,84%","Rua Júlio Gonzales, 132,Rua Julio Gonzales, 132"
9,ALMI11,Lajes Corporativas,84800,"1,87%","0,00%",42,94.278.100,26.527,1,"2.083,31",17158,"8,24%","97,07%","Avenida Almirante Barroso, 81, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
116,FPNG11,Lajes Corporativas,6862,"12,01%","11,68%",40,70.153.200,36,7,"7.733,85","1.096,02","14,17%","23,11%","Rua Tabapuã, 500,Rua Antonio de Albuquerque, 195 - Belo Horizonte MG,Rua Amazonas, 4338 - Belo Horizonte MG,Rua Paraiba, 550 25º and. Belo Horizonte MG,Rua Levindo Lopes, 258 Belo Horizonte MG,Rua Gonçalves da Guia, 8 - Itauna -MG,Rua Maria Luiza Santiago, 200 - Belo Horizonte MG"
115,FPAB11,Lajes Corporativas,13837,"14,33%","13,81%",37,103.778.000,16.896,2,"2.257,63",45296,"20,06%","29,24%","Avenida Francisco Matarazzo, 1500 ,Avenida Francisco Matarazzo, 1.500"
64,CNES11,Lajes Corporativas,3000,"4,25%","4,22%",34,88.477.400,3.371,1,"1.270,10",17978,"14,15%","54,60%","Avenida Maria Coelho Aguiar, 215, Jardim Sao Luis, Sao Paulo/SP, Brasil, 05805-000"
384,XPCM11,Lajes Corporativas,1434,"13,73%","12,76%",33,34.624.900,70.555,1,"1.556,52",000,"0,00%","85,00%","Av Pr Aristeu Ferreira da Silva,370,Cavaleiros,Macaé-RJ"
88,EDGA11,Lajes Corporativas,2001,"8,12%","7,87%",33,76.279.200,29.552,1,"3.030,55",41999,"13,86%","42,64%","Rua Da Quitanda, 86, Sem Complemento, Centro, Rio De Janeiro/RJ, Brasil, 00020-091"
70,CTXT11,Lajes Corporativas,1139,"-18,74%","0,00%",33,35.942.200,3.520,1,75955,601,"0,79%","98,24%",Av. Roberto Zuccolo nº 555 Vila Leopoldina
155,HOFC11,Lajes Corporativas,2382,"15,18%","11,25%",26,90.015.800,138.457,4,"2.035,68",49597,"24,36%","40,29%","Rua Bela Cintra, 986, São Paulo - SP,Av. Morumbi, 8.234, São Paulo - SP,Alameda Santos, nº 1.039, São Paulo - SP,Av. das Nações Unidas, 17.891, São Paulo - SP"
99,FAMB11B,Lajes Corporativas,71201,"-16,19%","0,00%",24,74.618.600,12.780,1,"1.230,13",000,"0,00%","100,00%","Avenida Almirante Barroso, 174, 1º Subsolo Até 31º Andar, Centro, Rio De Janeiro/RJ, Brasil, 20031-004"
119,FVBI11,Lajes Corporativas,15971,"0,00%","0,00%",0,0,0,1,000,63695,"0,00%","0,00%","Av. Brig. Faria Lima 4400, São Paulo, SP, 04551-060"
