Papel,Segmento,Cotação,FFO Yield,Dividend Yield,P/VP,Valor de Mercado,Liquidez,Qtd de imóveis,Preço do m2,Aluguel por m2,Cap Rate,Vacância Média,Endereço
BVAR11,Outros,10001,"84,44%","351,61%",8,62.560.300,0,63,49481,44143,"89,21%","7,46%","Rua Candido Mendes, 1.280 - Bairro Central,Av. Senhor dos Passos, 1.167 - Centro,Rua Imperatriz Tereza Cristina, 57 - Boa Vista,Pça Dom Epaminondas, 131 - Centro,Rua Manoel Correa, 76 - Centro,Av. Eduardo Ribeiro, 390 - Centro,Rua dos Americanos, 465 - Barra Funda,Rua 13 de Junho, 265 e Rua Antonio Joao, 59 (lojas 01 a 11),Rua Oswaldo Cruz, 132,Rua Sete de Setembro, 12/34 - Boa Vista,Rua Conselheiro João Alfredo, 68 - Centro,Rua dos Andradas, 1441 - Centro - Porto Alegre,Rua Marechal Deodoro, 102 - Centro,Rua Sete de Setembro, 142 - Centro,Rua do Comercio, 352 - Centro,Rua da Paz, 338 - Afogados,Rua Senador Teodoro Pacheco, 1.074 - Centro,Av. Sete de Setembro, 941-A - Centro,Rua Barão do Rio Branco, 118,Rua Imperatriz Terreza Cristina, 35 - Boa Vista,Av. Adolfo Pinheiro, 62 - Santo Amaro,Rua Major Facundo, 532 - Centro,Rua Antonio João, 59 - Lj 12 e 13 - Centro,Rua 13 de Junho, 265 - Centro,Av. Sete de Setembro, 238 - Centro,Av. Portugal, 221 - Centro,Rua Riachuelo, 360 - Centro,Pça XV de Novembro, 111,Rua Voluntários da Pátria, 29 - Centro,Rua Barão de Jundiaí, 955 - Centro,Av. Geronimo Monteiro, 299 - Centro,Pça Antonio Menck, 103 - Centro,Rua Carijós, 645 - Centro,Rua Grande, 517/523 - Centro,Rua Conselheiro João Alfredo, 38 Campina ,Rua Nova, 163 - Bairro Santo Antonio,Rua dos Andradas, 1.307 / 1.315 - Centro,Rua Regente Feijó, 1.037 - Centro,Av. Portugal, 213 - Centro,Rua da Azenha, 795 - Bairro Azenha,Av. Getulio Vargas, 258 - Centro,Rua Marechal Deodoro, 1.315 - Centro,Rua Antonio João, 59 - Lj 14 e 15 - Centro,Av. Sete de Setembro, 740 - Centro,Rua Serra Dourada, 102 - S. Miguel Paulista,Av. Paraná, 321 - Centro,Rua Visconde de Pirajá, 138 -A - Ipanema,Rua Desembargador Westphalen, 130 - Centro,Rua Dr. Deodato Wertheimer, 1.374 - Centro,Rua James Holland, 422 - Barra Funda,Rua Duque de Caxias, 222 - Santo Antonio,Rua Teodoro Sampaio, 2.382 - Pinheiros,Rua Marechal Deodoro, 900 - Centro,Rua Dias da Cruz, 155 - Meier,Rua Direita, 25 - Centro - SP,Av. Anhanguera, 5.520 - Bairro Setor Central,Av. Rio Branco, 637 - Cidade Alta,Rua Voluntários da Pátria, 167 - Centro,Av. 13 de Maio, 53 - Altos - Centro,Rua Maciel Pinheiro, 185 - Centro,Av. Presidente Kennedy, 09,Pça Ramos de Azevedo, 229,Rua João de Barros, 1812 - Encruzilhada "
CARE11,Híbrido,213,"-2,32%","0,00%",26,76.189.900,19.582,1,000,000,"0,34%","0,00%",
CBOP11,Lajes Corporativas,4208,"17,44%","14,81%",57,59.543.200,34.634,1,"3.583,72",26200,"7,31%","37,31%","Avenida Marcos Penteado Ulhôa Rodrigues, 939, Tamboré, Barueri - SP"
CCME11,Outros,9960,"3,45%","3,52%",99,248.510.000,1.241,0,000,000,"0,00%","0,00%",
CCRF11,Títulos e Val. Mob.,8564,"8,86%","13,80%",90,134.618.000,2.993,0,000,000,"0,00%","0,00%",
CEOC11,Lajes Corporativas,5458,"10,88%","11,27%",69,99.100.700,43.135,1,"7.685,92",99759,"12,98%","0,00%","Avenida Joao Cabral De Mello Neto, 850, 2º, 3º, 4º, 8º, 9º,10º,11º E 12º Andares, Barra Da Tijuca, Rio De Janeiro/RJ, Brasil, 22775-057"
CNES11,Lajes Corporativas,3000,"4,25%","4,22%",34,88.477.400,3.371,1,"1.270,10",17978,"14,15%","54,60%","Avenida Maria Coelho Aguiar, 215, Jardim Sao Luis, Sao Paulo/SP, Brasil, 05805-000"
CORM11,Híbrido,8100,"11,44%","5,90%",96,82.402.600,0,3,"7.561,03",73400,"9,71%","0,00%","Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha Ii, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Alfredo Egidio De Souza Aranha, 145, Edifício Souza Aranha I, Vila Cruzeiro, Sao Paulo/SP, Brasil, 04726-170,Avenida Independencia, 565, Imóvel Porto Alegre, Independência, Porto Alegre/RS, Brasil, 00090-035"
CPFF11,Títulos e Val. Mob.,6016,"16,71%","11,63%",78,153.593.000,317.643,0,000,000,"0,00%","0,00%",
CPTS11,Títulos e Val. Mob.,7857,"0,75%","14,21%",89,2.497.180.000,6.119.760,0,000,000,"0,00%","0,00%",
CRFF11,Títulos e Val. Mob.,6392,"11,24%","11,24%",78,44.107.400,7.976,0,000,000,"0,00%","0,00%",
CTXT11,Lajes Corporativas,1139,"-18,74%","0,00%",33,35.942.200,3.520,1,75955,601,"0,79%","98,24%",Av. Roberto Zuccolo nº 555 Vila Leopoldina
CVBI11,Títulos e Val. Mob.,8988,"13,55%","13,79%",96,989.599.000,2.341.740,0,000,000,"0,00%","0,00%",
